,CaseID,W1_Q1,W1_Q2,W1_Q3,W1_Q4,W1_Q5,W1_Q6,W1_Q7,W1_Q8a,W1_Q8b,W2_Q16,ppage,ppeducat,ppethm,ppgender,ppincimp,ppstaten,Party_ID,Ideology,Panel_Tenure_Months,OCC_GA,OCC_WA,OCC_NU,OCC_CC,OCC_JA,OCC_CO,OCC_FA,OCC_RS,OCC_DR,OCC_CP,OCC_TE,FB09,fisexp1,fisexp2,censusgroup
9390,948.0,Never,Fair,Once in a while,Be reduced a little,70.0,40.0,50.0,50.0,,Be reduced a little,51.0,Some college,Hispanic,Male,"$25,000 to $29,999",tx,Leans Democrat,Slightly liberal,34.0,,,,,,,,,,,,,1.0,1.0,"Many Immigrants, Majority Hispanic"
9400,949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
9410,950.0,Once in a while,Fair,Once in a while,Be reduced a lot,50.0,40.0,50.0,100.0,,Remain the same as it is,59.0,Less than high school,"White, Non-Hispanic",Male,"$35,000 to $39,999",wv,Strong Democrat,"Moderate, middle of the road",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2610364,1.0,1.0,Few Immigrants
9420,951.0,Once in a while,Poor,Once in a while,Be reduced a little,40.0,35.0,40.0,45.0,,Be reduced a lot,52.0,Some college,"White, Non-Hispanic",Female,"$20,000 to $24,999",mn,Not Strong Democrat,Slightly conservative,80.0,,,,,,,,,,,,,1.0,1.0,Few Immigrants
9430,952.0,Never,Fair,Once in a while,Be reduced a lot,40.0,25.0,0.0,70.0,,Be reduced a lot,47.0,High school,"White, Non-Hispanic",Male,"$7,500 to $9,999",wi,Strong Democrat,Slightly liberal,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
9440,953.0,Never,Poor,Never,Remain the same as it is,90.0,90.0,90.0,90.0,,Remain the same as it is,38.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$100,000 to $124,999",wa,Strong Democrat,Liberal,15.0,,,,,,,,,,,,,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
9450,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
9460,955.0,Never,Poor,Once in a while,Be reduced a little,60.0,60.0,60.0,60.0,,Be reduced a lot,72.0,Some college,"White, Non-Hispanic",Female,"$15,000 to $19,999",co,Strong Republican,Conservative,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09460654,1.0,1.0,Few Immigrants
9470,956.0,Never,Very poor,Never,Be reduced a lot,5.0,0.0,100.0,100.0,,Be reduced a lot,23.0,Some college,"White, Non-Hispanic",Male,"$25,000 to $29,999",or,Strong Republican,Conservative,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
9480,957.0,About half the time,Excellent,Once in a while,Remain the same as it is,65.0,80.0,80.0,75.0,,Remain the same as it is,19.0,Some college,"White, Non-Hispanic",Male,"$60,000 to $74,999",ca,Leans Republican,Liberal,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
9490,958.0,Once in a while,Good,About half the time,Remain the same as it is,75.0,75.0,75.0,,95.0,Remain the same as it is,37.0,Some college,"Black, Non-Hispanic",Female,"$25,000 to $29,999",ia,Leans Democrat,"Moderate, middle of the road",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040401127,1.0,1.0,Few Immigrants
9500,959.0,Once in a while,Fair,Never,Remain the same as it is,100.0,100.0,100.0,100.0,,Be increased a little,18.0,High school,Hispanic,Male,"$100,000 to $124,999",ca,Leans Democrat,Extremely liberal,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,"Many Immigrants, Majority Hispanic"
9510,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
9520,961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
9530,962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
9540,963.0,Once in a while,Poor,Once in a while,Remain the same as it is,50.0,50.0,65.0,65.0,,Remain the same as it is,74.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$85,000 to $99,999",nv,Not Strong Republican,Slightly conservative,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058380287,1.0,1.0,"Many Immigrants, Majority Hispanic"
9550,964.0,Once in a while,Fair,Once in a while,Be reduced a lot,20.0,12.0,12.0,75.0,,Be reduced a lot,39.0,High school,"White, Non-Hispanic",Male,"$20,000 to $24,999",tx,Leans Republican,"Moderate, middle of the road",58.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22688544,1.0,1.0,
9560,965.0,Never,Poor,Once in a while,Be reduced a lot,75.0,25.0,75.0,75.0,,Be reduced a lot,61.0,Some college,"White, Non-Hispanic",Male,"$15,000 to $19,999",vt,Leans Democrat,"Moderate, middle of the road",38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11914057,1.0,1.0,
9570,966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
9580,967.0,Most of the time,Fair,Most of the time,Be reduced a lot,20.0,0.0,50.0,100.0,,Be reduced a lot,74.0,Less than high school,"White, Non-Hispanic",Male,"$50,000 to $59,999",md,Not Strong Democrat,"Moderate, middle of the road",94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18283539,1.0,1.0,Few Immigrants
9590,968.0,Never,Fair,Never,Be reduced a lot,0.0,0.0,0.0,100.0,,Be reduced a lot,68.0,High school,"White, Non-Hispanic",Female,"$85,000 to $99,999",ny,Leans Republican,Conservative,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078348786,2.0,2.0,"Many Immigrants, Majority Not Hispanic"
9600,969.0,Once in a while,Fair,Once in a while,Remain the same as it is,80.0,50.0,50.0,90.0,,Remain the same as it is,52.0,High school,"White, Non-Hispanic",Female,"$75,000 to $84,999",wa,Not Strong Republican,"Moderate, middle of the road",88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
9610,970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
9620,971.0,Once in a while,Poor,Once in a while,Remain the same as it is,80.0,75.0,80.0,80.0,,Remain the same as it is,47.0,Some college,"White, Non-Hispanic",Female,"$125,000 to $149,999",pa,Not Strong Republican,Conservative,113.0,,,,,,,,,,,,,1.0,1.0,Few Immigrants
9630,972.0,Never,Very poor,Once in a while,Be reduced a lot,0.0,29.0,75.0,50.0,,Be reduced a lot,47.0,High school,"White, Non-Hispanic",Male,"$15,000 to $19,999",mo,Strong Democrat,"Moderate, middle of the road",5.0,,,,,,,,,,,,,1.0,1.0,Few Immigrants
9640,973.0,Never,Very poor,Once in a while,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,51.0,Some college,"White, Non-Hispanic",Female,"$60,000 to $74,999",ia,Leans Democrat,"Moderate, middle of the road",11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,Few Immigrants
9650,974.0,Once in a while,Fair,About half the time,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,63.0,Some college,"White, Non-Hispanic",Female,"$15,000 to $19,999",ny,Leans Democrat,"Moderate, middle of the road",38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,2.0,2.0,Few Immigrants
9660,975.0,Most of the time,Excellent,Most of the time,Remain the same as it is,75.0,75.0,75.0,75.0,,Remain the same as it is,70.0,High school,"White, Non-Hispanic",Male,"$40,000 to $49,999",fl,Not Strong Republican,Slightly conservative,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23116839,1.0,2.0,Few Immigrants
9670,976.0,Once in a while,Poor,Once in a while,Be reduced a little,50.0,50.0,50.0,75.0,,Be reduced a little,68.0,High school,"White, Non-Hispanic",Male,"$60,000 to $74,999",ct,Leans Republican,Slightly conservative,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11805371,2.0,1.0,
9680,977.0,Never,Poor,Once in a while,Be reduced a lot,30.0,40.0,50.0,95.0,,Be reduced a little,35.0,Some college,"White, Non-Hispanic",Male,"$15,000 to $19,999",oh,Strong Republican,"Moderate, middle of the road",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13556229,1.0,1.0,Few Immigrants
9690,978.0,Never,Very poor,Never,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,41.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$125,000 to $149,999",mo,Leans Republican,Conservative,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,Few Immigrants
9700,979.0,Never,Good,Once in a while,Remain the same as it is,50.0,50.0,50.0,50.0,,Be increased a little,44.0,High school,"White, Non-Hispanic",Female,"$125,000 to $149,999",pa,Strong Republican,Conservative,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19315107,1.0,1.0,Few Immigrants
9710,980.0,Never,Good,Never,Be reduced a lot,0.0,0.0,50.0,100.0,,Be reduced a lot,62.0,Some college,"White, Non-Hispanic",Female,"$25,000 to $29,999",fl,Not Strong Republican,Slightly liberal,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15108828,1.0,2.0,"Many Immigrants, Majority Hispanic"
9720,981.0,Once in a while,Fair,Never,Be reduced a little,55.0,40.0,40.0,60.0,,Be reduced a little,67.0,Some college,"White, Non-Hispanic",Female,"$75,000 to $84,999",mn,Not Strong Democrat,Liberal,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14417452,1.0,1.0,"Many Immigrants, Majority Hispanic"
9730,982.0,Once in a while,Good,About half the time,Remain the same as it is,100.0,100.0,100.0,100.0,,Remain the same as it is,65.0,High school,"White, Non-Hispanic",Female,"$40,000 to $49,999",mi,Strong Republican,Conservative,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2610364,1.0,1.0,Few Immigrants
9740,983.0,Never,Excellent,Once in a while,Be reduced a lot,100.0,40.0,20.0,,100.0,Be reduced a little,40.0,High school,"Black, Non-Hispanic",Female,"$35,000 to $39,999",ny,Strong Democrat,"Moderate, middle of the road",48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417452,2.0,2.0,"Many Immigrants, Majority Hispanic"
9750,984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
9760,985.0,Never,Poor,Once in a while,Remain the same as it is,70.0,90.0,70.0,90.0,,Remain the same as it is,75.0,High school,"White, Non-Hispanic",Male,"$40,000 to $49,999",wa,Not Strong Republican,Conservative,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
9770,986.0,Once in a while,Good,Once in a while,Be reduced a little,70.0,70.0,80.0,70.0,,Be reduced a little,52.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$40,000 to $49,999",ca,Not Strong Democrat,Liberal,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
9780,987.0,Once in a while,Good,About half the time,Be reduced a lot,40.0,60.0,50.0,75.0,,Be reduced a lot,77.0,High school,"White, Non-Hispanic",Female,"$35,000 to $39,999",ar,Not Strong Democrat,"Moderate, middle of the road",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13005003,1.0,1.0,Few Immigrants
9790,988.0,Once in a while,Very poor,Once in a while,Be reduced a little,75.0,75.0,75.0,75.0,,Remain the same as it is,57.0,High school,"White, Non-Hispanic",Male,"$60,000 to $74,999",il,Strong Democrat,Liberal,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2610364,1.0,1.0,Few Immigrants
9800,989.0,Once in a while,Fair,Once in a while,Be reduced a lot,10.0,,10.0,,,Be reduced a lot,64.0,High school,"White, Non-Hispanic",Female,"$15,000 to $19,999",wi,Not Strong Democrat,"Moderate, middle of the road",63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
9810,990.0,Once in a while,Fair,Once in a while,Be reduced a little,35.0,20.0,30.0,50.0,,Be reduced a little,41.0,High school,"White, Non-Hispanic",Male,"$35,000 to $39,999",tn,Undecided/Independent/Other,"Moderate, middle of the road",54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17520247,1.0,1.0,Few Immigrants
9820,991.0,Never,Fair,Most of the time,Be reduced a lot,50.0,50.0,50.0,,100.0,Be reduced a little,35.0,Some college,"Black, Non-Hispanic",Female,"$150,000 to $174,999",il,Strong Democrat,"Moderate, middle of the road",25.0,,,,,,,,,,,,,1.0,1.0,"Many Immigrants, Majority Hispanic"
9830,992.0,Never,Good,Once in a while,Be reduced a lot,50.0,50.0,50.0,75.0,,Be reduced a lot,65.0,High school,"White, Non-Hispanic",Male,"$60,000 to $74,999",nv,Leans Democrat,"Moderate, middle of the road",41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16853262,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
9840,993.0,Never,Good,Once in a while,Be reduced a lot,20.0,50.0,50.0,50.0,,Be increased a little,80.0,High school,"White, Non-Hispanic",Male,"$60,000 to $74,999",tx,Strong Republican,Extremely conservative,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1204641,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
9850,994.0,About half the time,Fair,About half the time,Remain the same as it is,50.0,50.0,40.0,,50.0,Remain the same as it is,22.0,High school,"Black, Non-Hispanic",Male,"$15,000 to $19,999",fl,Strong Democrat,Liberal,4.0,,,,,,,,,,,,,1.0,2.0,"Many Immigrants, Majority Hispanic"
9860,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
9870,996.0,Most of the time,Good,About half the time,Be reduced a lot,10.0,1.0,50.0,100.0,,Be reduced a lot,36.0,Some college,"White, Non-Hispanic",Male,"$12,500 to $14,999",nh,Leans Republican,Slightly conservative,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,1.0,
9880,997.0,About half the time,Fair,About half the time,Be increased a little,75.0,75.0,75.0,75.0,,Remain the same as it is,60.0,High school,"White, Non-Hispanic",Male,"$60,000 to $74,999",fl,Not Strong Republican,"Moderate, middle of the road",54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2610364,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
9890,998.0,Never,Poor,Once in a while,Be reduced a lot,35.0,25.0,50.0,80.0,,Be reduced a little,61.0,Less than high school,"White, Non-Hispanic",Male,"$30,000 to $34,999",mn,Leans Democrat,"Moderate, middle of the road",42.0,,,,,,,,,,,,,1.0,1.0,Few Immigrants
9900,999.0,Once in a while,Poor,Most of the time,Remain the same as it is,90.0,20.0,20.0,90.0,,Remain the same as it is,19.0,High school,Hispanic,Female,"$25,000 to $29,999",wa,Leans Republican,Liberal,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23116839,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
9910,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
9920,1001.0,Once in a while,Fair,Once in a while,Remain the same as it is,100.0,100.0,100.0,100.0,,Remain the same as it is,31.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$40,000 to $49,999",pa,Not Strong Republican,Conservative,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18242587,1.0,1.0,Few Immigrants
9930,1002.0,Once in a while,Good,Once in a while,Remain the same as it is,55.0,55.0,60.0,60.0,,Be increased a little,42.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$175,000 or more",ma,Leans Democrat,Liberal,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10327132,2.0,2.0,
9940,1003.0,Once in a while,Fair,Once in a while,Remain the same as it is,40.0,30.0,30.0,50.0,,Remain the same as it is,74.0,Some college,"White, Non-Hispanic",Male,"$75,000 to $84,999",co,Strong Republican,Conservative,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11701912,1.0,1.0,"Many Immigrants, Majority Hispanic"
9950,1004.0,Once in a while,Fair,About half the time,Be reduced a little,50.0,50.0,75.0,75.0,,Be reduced a little,55.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$175,000 or more",wa,Leans Republican,"Moderate, middle of the road",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07161217,1.0,2.0,Few Immigrants
9960,1005.0,Never,Poor,Once in a while,Be reduced a lot,0.0,0.0,25.0,99.0,,Be reduced a lot,53.0,High school,"White, Non-Hispanic",Male,"$20,000 to $24,999",ny,Leans Republican,Slightly liberal,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11914057,2.0,2.0,Few Immigrants
9970,1006.0,Once in a while,Poor,About half the time,Remain the same as it is,70.0,65.0,70.0,75.0,,Remain the same as it is,71.0,Some college,"White, Non-Hispanic",Female,"$125,000 to $149,999",nj,Leans Democrat,Slightly liberal,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22688544,2.0,2.0,
9980,1007.0,Once in a while,Fair,Once in a while,Be reduced a little,60.0,50.0,60.0,75.0,,Be reduced a lot,77.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$100,000 to $124,999",ny,Strong Republican,Slightly conservative,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Few Immigrants
9990,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
10000,1009.0,Once in a while,Good,About half the time,Be increased a lot,100.0,100.0,100.0,100.0,,Be increased a little,48.0,Some college,"White, Non-Hispanic",Male,"$100,000 to $124,999",or,Leans Democrat,Liberal,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1494284,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
10010,1010.0,Most of the time,Good,Most of the time,Be reduced a little,50.0,75.0,50.0,50.0,,Remain the same as it is,56.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$125,000 to $149,999",ny,Leans Republican,"Moderate, middle of the road",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18242587,2.0,2.0,Few Immigrants
10020,1011.0,Once in a while,Good,Most of the time,Remain the same as it is,85.0,75.0,75.0,,100.0,Remain the same as it is,42.0,Bachelor's degree or higher,"Black, Non-Hispanic",Male,"$50,000 to $59,999",nj,Strong Democrat,"Moderate, middle of the road",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049426,2.0,2.0,
10030,1012.0,About half the time,Fair,Once in a while,Remain the same as it is,75.0,75.0,75.0,75.0,,Remain the same as it is,22.0,High school,Hispanic,Male,"$30,000 to $34,999",ca,Leans Republican,"Moderate, middle of the road",52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23116839,1.0,2.0,"Many Immigrants, Majority Hispanic"
10040,1013.0,Once in a while,Poor,About half the time,Be reduced a lot,60.0,20.0,80.0,100.0,,Be reduced a lot,61.0,High school,"White, Non-Hispanic",Female,"$75,000 to $84,999",ca,Not Strong Democrat,"Moderate, middle of the road",32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,2.0,"Many Immigrants, Majority Hispanic"
10050,1014.0,Never,Poor,Never,Be reduced a lot,25.0,80.0,10.0,100.0,,Be increased a lot,44.0,High school,"White, Non-Hispanic",Female,"$20,000 to $24,999",or,Undecided/Independent/Other,Refused,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14449827,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
10060,1015.0,Never,Very poor,Once in a while,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,61.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$85,000 to $99,999",ca,Strong Democrat,Liberal,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
10070,1016.0,Once in a while,Fair,Once in a while,Remain the same as it is,50.0,50.0,50.0,,50.0,Be reduced a little,42.0,Some college,"Black, Non-Hispanic",Female,"$15,000 to $19,999",ca,Strong Democrat,Liberal,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,"Many Immigrants, Majority Hispanic"
10080,1017.0,Once in a while,Very poor,Never,Remain the same as it is,50.0,50.0,50.0,80.0,,Remain the same as it is,21.0,High school,"White, Non-Hispanic",Male,"$100,000 to $124,999",oh,Not Strong Democrat,"Moderate, middle of the road",48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
10090,1018.0,Once in a while,Fair,Once in a while,Be increased a little,90.0,90.0,90.0,90.0,,Be increased a little,61.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$60,000 to $74,999",ut,Not Strong Republican,Slightly conservative,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09350198,1.0,1.0,Few Immigrants
10100,1019.0,Once in a while,Poor,Never,Remain the same as it is,75.0,75.0,75.0,90.0,,Remain the same as it is,23.0,High school,"White, Non-Hispanic",Male,"$15,000 to $19,999",oh,Leans Democrat,"Moderate, middle of the road",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.39795357,1.0,1.0,Few Immigrants
10110,1020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
10120,1021.0,Never,Fair,Once in a while,Be reduced a little,10.0,10.0,10.0,80.0,,Be reduced a little,72.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$100,000 to $124,999",fl,Not Strong Republican,"Moderate, middle of the road",23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417452,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
10130,1022.0,Never,Good,About half the time,Remain the same as it is,99.0,95.0,65.0,98.0,,Remain the same as it is,47.0,Some college,Hispanic,Male,"$30,000 to $34,999",ca,Strong Democrat,"Moderate, middle of the road",146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11701912,1.0,2.0,"Many Immigrants, Majority Hispanic"
10140,1023.0,Never,Poor,Never,Remain the same as it is,,50.0,75.0,100.0,,Be reduced a little,69.0,High school,"White, Non-Hispanic",Male,"$15,000 to $19,999",wi,Leans Democrat,"Moderate, middle of the road",23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13005003,1.0,1.0,Few Immigrants
10150,1024.0,Never,Very poor,Once in a while,Remain the same as it is,50.0,50.0,50.0,50.0,,Be increased a lot,46.0,Less than high school,"White, Non-Hispanic",Female,"$5,000 to $7,499",fl,Leans Republican,Slightly conservative,12.0,,,,,,,,,,,,,1.0,2.0,Few Immigrants
10160,1025.0,Once in a while,Poor,Once in a while,Be reduced a little,60.0,50.0,30.0,90.0,,Be reduced a little,42.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$100,000 to $124,999",va,Not Strong Democrat,Liberal,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
10170,1026.0,Once in a while,Excellent,About half the time,Be reduced a lot,50.0,50.0,40.0,90.0,,Be reduced a little,71.0,Some college,"2+ Races, Non-Hispanic",Female,"$85,000 to $99,999",tx,Strong Democrat,Slightly conservative,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139584,1.0,1.0,"Many Immigrants, Majority Hispanic"
10180,1027.0,Never,Poor,Never,,60.0,60.0,60.0,60.0,,Be increased a little,62.0,Some college,"White, Non-Hispanic",Male,"$75,000 to $84,999",tx,Strong Republican,Conservative,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122473806,1.0,1.0,"Many Immigrants, Majority Hispanic"
10190,1028.0,Never,Very poor,Never,Remain the same as it is,80.0,90.0,70.0,90.0,,Remain the same as it is,70.0,Less than high school,"White, Non-Hispanic",Male,"$12,500 to $14,999",tx,Not Strong Democrat,"Moderate, middle of the road",36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22688544,1.0,1.0,"Many Immigrants, Majority Hispanic"
10200,1029.0,Never,Good,Once in a while,Be reduced a lot,0.0,0.0,9.0,9.0,,Be reduced a lot,64.0,High school,"White, Non-Hispanic",Female,"$85,000 to $99,999",ia,Not Strong Democrat,"Moderate, middle of the road",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,Few Immigrants
10210,1030.0,About half the time,Good,Once in a while,Be reduced a lot,20.0,50.0,70.0,60.0,,Be reduced a lot,25.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$85,000 to $99,999",fl,Leans Democrat,"Moderate, middle of the road",33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12709278,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
10220,1031.0,Never,Very poor,Never,Be reduced a lot,40.0,50.0,60.0,90.0,,Be reduced a lot,54.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$100,000 to $124,999",mn,Not Strong Democrat,"Moderate, middle of the road",92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18242587,1.0,1.0,Few Immigrants
10230,1032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
